time,sales,transactions
2022-01-02 11:00:00,563.51,5
2022-01-02 11:15:00,513.11,4
2022-01-02 11:30:00,600.56,5
2022-01-02 11:45:00,418.97,5
2022-01-02 12:00:00,527.09,5
2022-01-02 12:15:00,575.59,6
2022-01-02 12:30:00,454.31,6
2022-01-02 12:45:00,535.0799999999999,6
2022-01-02 13:00:00,668.36,8
2022-01-02 13:15:00,568.55,7
2022-01-02 13:30:00,587.76,8
2022-01-02 13:45:00,437.17,7
2022-01-02 14:00:00,587.75,6
2022-01-02 14:15:00,510.54,6
2022-01-02 14:30:00,471.29,6
2022-01-02 14:45:00,587.28,6
2022-01-02 15:00:00,736.76,5
2022-01-02 15:15:00,264.1,4
2022-01-02 15:30:00,425.63,5
2022-01-02 15:45:00,402.16,4
2022-01-02 16:00:00,736.9499999999999,5
2022-01-02 16:15:00,348.3,4
2022-01-02 16:30:00,497.74,5
2022-01-02 16:45:00,597.75,4
2022-01-02 17:00:00,401.85,6
2022-01-02 17:15:00,520.16,6
2022-01-02 17:30:00,350.03000000000003,6
2022-01-02 17:45:00,849.89,6
2022-01-02 18:00:00,816.44,8
2022-01-02 18:15:00,571.01,7
2022-01-02 18:30:00,692.29,8
2022-01-02 18:45:00,823.0899999999999,7
2022-01-02 19:00:00,740.36,9
2022-01-02 19:15:00,858.0500000000001,9
2022-01-02 19:30:00,768.0400000000001,9
2022-01-02 19:45:00,856.15,9
2022-01-02 20:00:00,972.3,9
2022-01-02 20:15:00,1010.97,9
2022-01-02 20:30:00,852.91,9
2022-01-02 20:45:00,957.06,9
2022-01-02 21:00:00,342.12,6
2022-01-02 21:15:00,650.48,6
2022-01-02 21:30:00,544.65,6
2022-01-02 21:45:00,592.19,6
2022-01-02 22:00:00,196.34,3
2022-01-02 22:15:00,443.7,3
2022-01-02 22:30:00,278.37,3
2022-01-02 22:45:00,362.87,3
2022-01-02 23:00:00,158.48,1
2022-01-02 23:15:00,0.0,0
2022-01-02 23:30:00,0.0,0
2022-01-02 23:45:00,0.0,0
2022-01-03 00:00:00,0.0,0
2022-01-03 00:15:00,0.0,0
2022-01-03 00:30:00,0.0,0
2022-01-03 00:45:00,0.0,0
2022-01-03 01:00:00,0.0,0
2022-01-03 01:15:00,0.0,0
2022-01-03 01:30:00,0.0,0
2022-01-03 01:45:00,0.0,0
2022-01-03 02:00:00,0.0,0
2022-01-03 02:15:00,0.0,0
2022-01-03 02:30:00,0.0,0
2022-01-03 02:45:00,0.0,0
2022-01-03 03:00:00,0.0,0
2022-01-03 03:15:00,0.0,0
2022-01-03 03:30:00,0.0,0
2022-01-03 03:45:00,0.0,0
2022-01-03 04:00:00,0.0,0
2022-01-03 04:15:00,0.0,0
2022-01-03 04:30:00,0.0,0
2022-01-03 04:45:00,0.0,0
2022-01-03 05:00:00,0.0,0
2022-01-03 05:15:00,0.0,0
2022-01-03 05:30:00,0.0,0
2022-01-03 05:45:00,0.0,0
2022-01-03 06:00:00,0.0,0
2022-01-03 06:15:00,0.0,0
2022-01-03 06:30:00,0.0,0
2022-01-03 06:45:00,0.0,0
2022-01-03 07:00:00,0.0,0
2022-01-03 07:15:00,0.0,0
2022-01-03 07:30:00,0.0,0
2022-01-03 07:45:00,0.0,0
2022-01-03 08:00:00,0.0,0
2022-01-03 08:15:00,0.0,0
2022-01-03 08:30:00,0.0,0
2022-01-03 08:45:00,0.0,0
2022-01-03 09:00:00,0.0,0
2022-01-03 09:15:00,0.0,0
2022-01-03 09:30:00,0.0,0
2022-01-03 09:45:00,0.0,0
2022-01-03 10:00:00,171.34,2
2022-01-03 10:15:00,157.84,2
2022-01-03 10:30:00,330.06,3
2022-01-03 10:45:00,76.98,2
2022-01-03 11:00:00,329.32,4
2022-01-03 11:15:00,288.09,4
2022-01-03 11:30:00,356.07000000000005,3
2022-01-03 11:45:00,509.87,4
2022-01-03 12:00:00,114.89999999999999,4
2022-01-03 12:15:00,449.17,5
2022-01-03 12:30:00,408.1,5
2022-01-03 12:45:00,428.05,5
2022-01-03 13:00:00,612.01,5
2022-01-03 13:15:00,504.98,6
2022-01-03 13:30:00,618.6,6
2022-01-03 13:45:00,930.91,6
2022-01-03 14:00:00,724.37,5
2022-01-03 14:15:00,707.62,5
2022-01-03 14:30:00,542.32,5
2022-01-03 14:45:00,446.35,5
2022-01-03 15:00:00,279.11,3
2022-01-03 15:15:00,600.23,4
2022-01-03 15:30:00,305.38,4
2022-01-03 15:45:00,442.30999999999995,3
2022-01-03 16:00:00,518.54,4
2022-01-03 16:15:00,180.32,3
2022-01-03 16:30:00,564.04,4
2022-01-03 16:45:00,367.77,4
2022-01-03 17:00:00,338.58,4
2022-01-03 17:15:00,389.71,5
2022-01-03 17:30:00,537.19,5
2022-01-03 17:45:00,317.64,5
2022-01-03 18:00:00,488.43,5
2022-01-03 18:15:00,551.1500000000001,6
2022-01-03 18:30:00,800.28,6
2022-01-03 18:45:00,601.75,6
2022-01-03 19:00:00,723.3,7
2022-01-03 19:15:00,915.27,8
2022-01-03 19:30:00,830.29,7
2022-01-03 19:45:00,646.64,7
2022-01-03 20:00:00,71.36,1
2022-01-03 20:15:00,0.0,0
2022-01-03 20:30:00,0.0,0
2022-01-03 20:45:00,0.0,0
2022-01-03 21:00:00,0.0,0
2022-01-03 21:15:00,0.0,0
2022-01-03 21:30:00,0.0,0
2022-01-03 21:45:00,0.0,0
2022-01-03 22:00:00,0.0,0
2022-01-03 22:15:00,0.0,0
2022-01-03 22:30:00,0.0,0
2022-01-03 22:45:00,0.0,0
2022-01-03 23:00:00,0.0,0
2022-01-03 23:15:00,0.0,0
2022-01-03 23:30:00,0.0,0
2022-01-03 23:45:00,0.0,0
2022-01-04 00:00:00,0.0,0
2022-01-04 00:15:00,0.0,0
2022-01-04 00:30:00,0.0,0
2022-01-04 00:45:00,0.0,0
2022-01-04 01:00:00,0.0,0
2022-01-04 01:15:00,0.0,0
2022-01-04 01:30:00,0.0,0
2022-01-04 01:45:00,0.0,0
2022-01-04 02:00:00,0.0,0
2022-01-04 02:15:00,0.0,0
2022-01-04 02:30:00,0.0,0
2022-01-04 02:45:00,0.0,0
2022-01-04 03:00:00,0.0,0
2022-01-04 03:15:00,0.0,0
2022-01-04 03:30:00,0.0,0
2022-01-04 03:45:00,0.0,0
2022-01-04 04:00:00,0.0,0
2022-01-04 04:15:00,0.0,0
2022-01-04 04:30:00,0.0,0
2022-01-04 04:45:00,0.0,0
2022-01-04 05:00:00,0.0,0
2022-01-04 05:15:00,0.0,0
2022-01-04 05:30:00,0.0,0
2022-01-04 05:45:00,0.0,0
2022-01-04 06:00:00,0.0,0
2022-01-04 06:15:00,0.0,0
2022-01-04 06:30:00,0.0,0
2022-01-04 06:45:00,0.0,0
2022-01-04 07:00:00,0.0,0
2022-01-04 07:15:00,0.0,0
2022-01-04 07:30:00,0.0,0
2022-01-04 07:45:00,0.0,0
2022-01-04 08:00:00,54.21,1
2022-01-04 08:15:00,62.29,1
2022-01-04 08:30:00,131.22,1
2022-01-04 08:45:00,138.19,2
2022-01-04 09:00:00,217.82,2
2022-01-04 09:15:00,166.76,3
2022-01-04 09:30:00,314.95,3
2022-01-04 09:45:00,417.0,3
2022-01-04 10:00:00,271.19,3
2022-01-04 10:15:00,410.58,3
2022-01-04 10:30:00,164.81,3
2022-01-04 10:45:00,102.68,3
2022-01-04 11:00:00,376.68,5
2022-01-04 11:15:00,118.28,4
2022-01-04 11:30:00,445.81,5
2022-01-04 11:45:00,479.26,4
2022-01-04 12:00:00,645.05,6
2022-01-04 12:15:00,831.3,6
2022-01-04 12:30:00,627.1600000000001,6
2022-01-04 12:45:00,877.48,6
2022-01-04 13:00:00,567.78,7
2022-01-04 13:15:00,668.01,7
2022-01-04 13:30:00,950.5799999999999,8
2022-01-04 13:45:00,670.62,7
2022-01-04 14:00:00,706.99,6
2022-01-04 14:15:00,633.17,6
2022-01-04 14:30:00,802.0,6
2022-01-04 14:45:00,520.38,6
2022-01-04 15:00:00,426.9,5
2022-01-04 15:15:00,676.03,4
2022-01-04 15:30:00,285.06,5
2022-01-04 15:45:00,438.53000000000003,4
2022-01-04 16:00:00,411.91,5
2022-01-04 16:15:00,520.8399999999999,4
2022-01-04 16:30:00,433.8,5
2022-01-04 16:45:00,300.64,4
2022-01-04 17:00:00,571.46,6
2022-01-04 17:15:00,743.3,6
2022-01-04 17:30:00,619.44,6
2022-01-04 17:45:00,649.88,6
2022-01-04 18:00:00,766.97,8
2022-01-04 18:15:00,850.97,7
2022-01-04 18:30:00,726.44,8
2022-01-04 18:45:00,691.46,7
2022-01-04 19:00:00,888.33,9
2022-01-04 19:15:00,966.98,9
2022-01-04 19:30:00,1151.7,9
2022-01-04 19:45:00,886.8399999999999,9
2022-01-04 20:00:00,80.86,1
2022-01-04 20:15:00,0.0,0
2022-01-04 20:30:00,0.0,0
2022-01-04 20:45:00,0.0,0
2022-01-04 21:00:00,0.0,0
2022-01-04 21:15:00,0.0,0
2022-01-04 21:30:00,0.0,0
2022-01-04 21:45:00,0.0,0
2022-01-04 22:00:00,0.0,0
2022-01-04 22:15:00,0.0,0
2022-01-04 22:30:00,0.0,0
2022-01-04 22:45:00,0.0,0
2022-01-04 23:00:00,0.0,0
2022-01-04 23:15:00,0.0,0
2022-01-04 23:30:00,0.0,0
2022-01-04 23:45:00,0.0,0
2022-01-05 00:00:00,0.0,0
2022-01-05 00:15:00,0.0,0
2022-01-05 00:30:00,0.0,0
2022-01-05 00:45:00,0.0,0
2022-01-05 01:00:00,0.0,0
2022-01-05 01:15:00,0.0,0
2022-01-05 01:30:00,0.0,0
2022-01-05 01:45:00,0.0,0
2022-01-05 02:00:00,0.0,0
2022-01-05 02:15:00,0.0,0
2022-01-05 02:30:00,0.0,0
2022-01-05 02:45:00,0.0,0
2022-01-05 03:00:00,0.0,0
2022-01-05 03:15:00,0.0,0
2022-01-05 03:30:00,0.0,0
2022-01-05 03:45:00,0.0,0
2022-01-05 04:00:00,0.0,0
2022-01-05 04:15:00,0.0,0
2022-01-05 04:30:00,0.0,0
2022-01-05 04:45:00,0.0,0
2022-01-05 05:00:00,0.0,0
2022-01-05 05:15:00,0.0,0
2022-01-05 05:30:00,0.0,0
2022-01-05 05:45:00,0.0,0
2022-01-05 06:00:00,0.0,0
2022-01-05 06:15:00,0.0,0
2022-01-05 06:30:00,0.0,0
2022-01-05 06:45:00,0.0,0
2022-01-05 07:00:00,0.0,0
2022-01-05 07:15:00,0.0,0
2022-01-05 07:30:00,0.0,0
2022-01-05 07:45:00,0.0,0
2022-01-05 08:00:00,120.49,1
2022-01-05 08:15:00,29.28,1
2022-01-05 08:30:00,262.29,2
2022-01-05 08:45:00,26.89,1
2022-01-05 09:00:00,476.0,3
2022-01-05 09:15:00,186.71,2
2022-01-05 09:30:00,331.55,3
2022-01-05 09:45:00,235.78,3
2022-01-05 10:00:00,157.4,2
2022-01-05 10:15:00,282.90999999999997,3
2022-01-05 10:30:00,281.23,3
2022-01-05 10:45:00,335.90999999999997,3
2022-01-05 11:00:00,389.86,3
2022-01-05 11:15:00,470.90999999999997,4
2022-01-05 11:30:00,758.4200000000001,5
2022-01-05 11:45:00,242.18,4
2022-01-05 12:00:00,657.89,5
2022-01-05 12:15:00,652.76,5
2022-01-05 12:30:00,439.71,5
2022-01-05 12:45:00,455.69,6
2022-01-05 13:00:00,748.5,6
2022-01-05 13:15:00,766.5899999999999,7
2022-01-05 13:30:00,550.35,7
2022-01-05 13:45:00,979.45,7
2022-01-05 14:00:00,610.49,5
2022-01-05 14:15:00,856.89,6
2022-01-05 14:30:00,816.45,5
2022-01-05 14:45:00,717.95,5
2022-01-05 15:00:00,210.61,4
2022-01-05 15:15:00,515.41,4
2022-01-05 15:30:00,447.3,4
2022-01-05 15:45:00,400.55,4
2022-01-05 16:00:00,247.76999999999998,4
2022-01-05 16:15:00,194.85,4
2022-01-05 16:30:00,508.13,4
2022-01-05 16:45:00,557.24,5
2022-01-05 17:00:00,514.53,5
2022-01-05 17:15:00,577.3,5
2022-01-05 17:30:00,662.02,6
2022-01-05 17:45:00,395.54,5
2022-01-05 18:00:00,548.86,6
2022-01-05 18:15:00,604.43,7
2022-01-05 18:30:00,540.23,7
2022-01-05 18:45:00,915.69,7
2022-01-05 19:00:00,798.76,8
2022-01-05 19:15:00,968.5,8
2022-01-05 19:30:00,508.04,8
2022-01-05 19:45:00,808.0,8
2022-01-05 20:00:00,39.27,1
2022-01-05 20:15:00,0.0,0
2022-01-05 20:30:00,0.0,0
2022-01-05 20:45:00,0.0,0
2022-01-05 21:00:00,0.0,0
2022-01-05 21:15:00,0.0,0
2022-01-05 21:30:00,0.0,0
2022-01-05 21:45:00,0.0,0
2022-01-05 22:00:00,0.0,0
2022-01-05 22:15:00,0.0,0
2022-01-05 22:30:00,0.0,0
2022-01-05 22:45:00,0.0,0
2022-01-05 23:00:00,0.0,0
2022-01-05 23:15:00,0.0,0
2022-01-05 23:30:00,0.0,0
2022-01-05 23:45:00,0.0,0
2022-01-06 00:00:00,0.0,0
2022-01-06 00:15:00,0.0,0
2022-01-06 00:30:00,0.0,0
2022-01-06 00:45:00,0.0,0
2022-01-06 01:00:00,0.0,0
2022-01-06 01:15:00,0.0,0
2022-01-06 01:30:00,0.0,0
2022-01-06 01:45:00,0.0,0
2022-01-06 02:00:00,0.0,0
2022-01-06 02:15:00,0.0,0
2022-01-06 02:30:00,0.0,0
2022-01-06 02:45:00,0.0,0
2022-01-06 03:00:00,0.0,0
2022-01-06 03:15:00,0.0,0
2022-01-06 03:30:00,0.0,0
2022-01-06 03:45:00,0.0,0
2022-01-06 04:00:00,0.0,0
2022-01-06 04:15:00,0.0,0
2022-01-06 04:30:00,0.0,0
2022-01-06 04:45:00,0.0,0
2022-01-06 05:00:00,0.0,0
2022-01-06 05:15:00,0.0,0
2022-01-06 05:30:00,0.0,0
2022-01-06 05:45:00,0.0,0
2022-01-06 06:00:00,0.0,0
2022-01-06 06:15:00,0.0,0
2022-01-06 06:30:00,0.0,0
2022-01-06 06:45:00,0.0,0
2022-01-06 07:00:00,0.0,0
2022-01-06 07:15:00,0.0,0
2022-01-06 07:30:00,0.0,0
2022-01-06 07:45:00,0.0,0
2022-01-06 08:00:00,120.79,1
2022-01-06 08:15:00,204.03,2
2022-01-06 08:30:00,22.76,1
2022-01-06 08:45:00,133.53,2
2022-01-06 09:00:00,182.63,2
2022-01-06 09:15:00,381.40999999999997,4
2022-01-06 09:30:00,354.88,3
2022-01-06 09:45:00,208.93,3
2022-01-06 10:00:00,433.28999999999996,4
2022-01-06 10:15:00,482.48,3
2022-01-06 10:30:00,349.27,3
2022-01-06 10:45:00,272.4,3
2022-01-06 11:00:00,337.63,5
2022-01-06 11:15:00,558.72,5
2022-01-06 11:30:00,453.75,5
2022-01-06 11:45:00,490.64,5
2022-01-06 12:00:00,719.46,6
2022-01-06 12:15:00,842.4,7
2022-01-06 12:30:00,605.97,7
2022-01-06 12:45:00,491.38000000000005,6
2022-01-06 13:00:00,1288.61,8
2022-01-06 13:15:00,852.77,9
2022-01-06 13:30:00,560.8199999999999,8
2022-01-06 13:45:00,801.32,8
2022-01-06 14:00:00,604.44,7
2022-01-06 14:15:00,836.0,6
2022-01-06 14:30:00,646.11,7
2022-01-06 14:45:00,855.72,7
2022-01-06 15:00:00,262.05,5
2022-01-06 15:15:00,530.4200000000001,5
2022-01-06 15:30:00,755.89,5
2022-01-06 15:45:00,422.58,4
2022-01-06 16:00:00,635.69,5
2022-01-06 16:15:00,533.88,5
2022-01-06 16:30:00,725.13,5
2022-01-06 16:45:00,416.8,5
2022-01-06 17:00:00,831.98,7
2022-01-06 17:15:00,806.6999999999999,6
2022-01-06 17:30:00,433.85,7
2022-01-06 17:45:00,463.38,6
2022-01-06 18:00:00,847.88,9
2022-01-06 18:15:00,1085.38,8
2022-01-06 18:30:00,638.15,8
2022-01-06 18:45:00,862.94,8
2022-01-06 19:00:00,901.97,10
2022-01-06 19:15:00,1042.37,10
2022-01-06 19:30:00,949.97,10
2022-01-06 19:45:00,1326.38,10
2022-01-06 20:00:00,108.5,1
2022-01-06 20:15:00,0.0,0
2022-01-06 20:30:00,0.0,0
2022-01-06 20:45:00,0.0,0
2022-01-06 21:00:00,0.0,0
2022-01-06 21:15:00,0.0,0
2022-01-06 21:30:00,0.0,0
2022-01-06 21:45:00,0.0,0
2022-01-06 22:00:00,0.0,0
2022-01-06 22:15:00,0.0,0
2022-01-06 22:30:00,0.0,0
2022-01-06 22:45:00,0.0,0
2022-01-06 23:00:00,0.0,0
2022-01-06 23:15:00,0.0,0
2022-01-06 23:30:00,0.0,0
2022-01-06 23:45:00,0.0,0
2022-01-07 00:00:00,0.0,0
2022-01-07 00:15:00,0.0,0
2022-01-07 00:30:00,0.0,0
2022-01-07 00:45:00,0.0,0
2022-01-07 01:00:00,0.0,0
2022-01-07 01:15:00,0.0,0
2022-01-07 01:30:00,0.0,0
2022-01-07 01:45:00,0.0,0
2022-01-07 02:00:00,0.0,0
2022-01-07 02:15:00,0.0,0
2022-01-07 02:30:00,0.0,0
2022-01-07 02:45:00,0.0,0
2022-01-07 03:00:00,0.0,0
2022-01-07 03:15:00,0.0,0
2022-01-07 03:30:00,0.0,0
2022-01-07 03:45:00,0.0,0
2022-01-07 04:00:00,0.0,0
2022-01-07 04:15:00,0.0,0
2022-01-07 04:30:00,0.0,0
2022-01-07 04:45:00,0.0,0
2022-01-07 05:00:00,0.0,0
2022-01-07 05:15:00,0.0,0
2022-01-07 05:30:00,0.0,0
2022-01-07 05:45:00,0.0,0
2022-01-07 06:00:00,0.0,0
2022-01-07 06:15:00,0.0,0
2022-01-07 06:30:00,0.0,0
2022-01-07 06:45:00,0.0,0
2022-01-07 07:00:00,0.0,0
2022-01-07 07:15:00,0.0,0
2022-01-07 07:30:00,0.0,0
2022-01-07 07:45:00,0.0,0
2022-01-07 08:00:00,197.75,1
2022-01-07 08:15:00,289.69,2
2022-01-07 08:30:00,137.46,1
2022-01-07 08:45:00,317.92,2
2022-01-07 09:00:00,253.27999999999997,3
2022-01-07 09:15:00,487.67,4
2022-01-07 09:30:00,181.51,3
2022-01-07 09:45:00,508.11,4
2022-01-07 10:00:00,377.29999999999995,3
2022-01-07 10:15:00,320.03999999999996,4
2022-01-07 10:30:00,431.44,4
2022-01-07 10:45:00,470.96999999999997,3
2022-01-07 11:00:00,452.19,5
2022-01-07 11:15:00,662.76,6
2022-01-07 11:30:00,544.08,5
2022-01-07 11:45:00,504.28999999999996,6
2022-01-07 12:00:00,604.37,6
2022-01-07 12:15:00,822.37,8
2022-01-07 12:30:00,514.3,7
2022-01-07 12:45:00,872.09,7
2022-01-07 13:00:00,1112.87,9
2022-01-07 13:15:00,729.96,9
2022-01-07 13:30:00,935.09,9
2022-01-07 13:45:00,1136.2,9
2022-01-07 14:00:00,625.27,7
2022-01-07 14:15:00,565.96,7
2022-01-07 14:30:00,1094.55,8
2022-01-07 14:45:00,865.05,7
2022-01-07 15:00:00,307.52,5
2022-01-07 15:15:00,700.88,6
2022-01-07 15:30:00,406.40999999999997,5
2022-01-07 15:45:00,664.33,6
2022-01-07 16:00:00,633.32,5
2022-01-07 16:15:00,307.45,5
2022-01-07 16:30:00,523.33,6
2022-01-07 16:45:00,684.85,5
2022-01-07 17:00:00,561.4100000000001,7
2022-01-07 17:15:00,1016.2,8
2022-01-07 17:30:00,1042.29,7
2022-01-07 17:45:00,782.28,7
2022-01-07 18:00:00,904.78,9
2022-01-07 18:15:00,1089.6299999999999,9
2022-01-07 18:30:00,797.62,9
2022-01-07 18:45:00,1076.26,9
2022-01-07 19:00:00,1165.66,11
2022-01-07 19:15:00,1376.57,10
2022-01-07 19:30:00,1293.74,11
2022-01-07 19:45:00,1022.65,11
2022-01-07 20:00:00,53.59,1
2022-01-07 20:15:00,0.0,0
2022-01-07 20:30:00,0.0,0
2022-01-07 20:45:00,0.0,0
2022-01-07 21:00:00,0.0,0
2022-01-07 21:15:00,0.0,0
2022-01-07 21:30:00,0.0,0
2022-01-07 21:45:00,0.0,0
2022-01-07 22:00:00,0.0,0
2022-01-07 22:15:00,0.0,0
2022-01-07 22:30:00,0.0,0
2022-01-07 22:45:00,0.0,0
2022-01-07 23:00:00,0.0,0
2022-01-07 23:15:00,0.0,0
2022-01-07 23:30:00,0.0,0
2022-01-07 23:45:00,0.0,0
2022-01-08 00:00:00,0.0,0
2022-01-08 00:15:00,0.0,0
2022-01-08 00:30:00,0.0,0
2022-01-08 00:45:00,0.0,0
2022-01-08 01:00:00,0.0,0
2022-01-08 01:15:00,0.0,0
2022-01-08 01:30:00,0.0,0
2022-01-08 01:45:00,0.0,0
2022-01-08 02:00:00,0.0,0
2022-01-08 02:15:00,0.0,0
2022-01-08 02:30:00,0.0,0
2022-01-08 02:45:00,0.0,0
2022-01-08 03:00:00,0.0,0
2022-01-08 03:15:00,0.0,0
2022-01-08 03:30:00,0.0,0
2022-01-08 03:45:00,0.0,0
2022-01-08 04:00:00,0.0,0
2022-01-08 04:15:00,0.0,0
2022-01-08 04:30:00,0.0,0
2022-01-08 04:45:00,0.0,0
2022-01-08 05:00:00,0.0,0
2022-01-08 05:15:00,0.0,0
2022-01-08 05:30:00,0.0,0
2022-01-08 05:45:00,0.0,0
2022-01-08 06:00:00,0.0,0
2022-01-08 06:15:00,0.0,0
2022-01-08 06:30:00,0.0,0
2022-01-08 06:45:00,0.0,0
2022-01-08 07:00:00,0.0,0
2022-01-08 07:15:00,0.0,0
2022-01-08 07:30:00,0.0,0
2022-01-08 07:45:00,0.0,0
2022-01-08 08:00:00,44.16,1
2022-01-08 08:15:00,0.0,0
2022-01-08 08:30:00,0.0,0
2022-01-08 08:45:00,0.0,0
2022-01-08 09:00:00,0.0,0
2022-01-08 09:15:00,0.0,0
2022-01-08 09:30:00,0.0,0
2022-01-08 09:45:00,0.0,0
2022-01-08 10:00:00,458.49,3
2022-01-08 10:15:00,659.94,4
2022-01-08 10:30:00,344.75,4
2022-01-08 10:45:00,406.11,4
2022-01-08 11:00:00,444.18,6
2022-01-08 11:15:00,514.84,6
2022-01-08 11:30:00,576.1600000000001,6
2022-01-08 11:45:00,706.9200000000001,6
2022-01-08 12:00:00,562.3,7
2022-01-08 12:15:00,708.86,8
2022-01-08 12:30:00,702.5,8
2022-01-08 12:45:00,686.5999999999999,7
2022-01-08 13:00:00,821.88,10
2022-01-08 13:15:00,901.36,10
2022-01-08 13:30:00,1109.53,10
2022-01-08 13:45:00,1146.1399999999999,9
2022-01-08 14:00:00,856.04,8
2022-01-08 14:15:00,951.1600000000001,8
2022-01-08 14:30:00,907.2,8
2022-01-08 14:45:00,470.36,8
2022-01-08 15:00:00,583.8,6
2022-01-08 15:15:00,832.44,6
2022-01-08 15:30:00,465.53000000000003,5
2022-01-08 15:45:00,520.36,6
2022-01-08 16:00:00,665.26,6
2022-01-08 16:15:00,430.26,6
2022-01-08 16:30:00,367.17,6
2022-01-08 16:45:00,491.18,6
2022-01-08 17:00:00,654.48,7
2022-01-08 17:15:00,796.09,8
2022-01-08 17:30:00,885.71,8
2022-01-08 17:45:00,908.94,7
2022-01-08 18:00:00,1079.11,10
2022-01-08 18:15:00,1052.98,10
2022-01-08 18:30:00,962.5,10
2022-01-08 18:45:00,1058.08,9
2022-01-08 19:00:00,1542.93,12
2022-01-08 19:15:00,1581.42,12
2022-01-08 19:30:00,1165.5,11
2022-01-08 19:45:00,1025.27,12
2022-01-08 20:00:00,1068.12,12
2022-01-08 20:15:00,1406.14,12
2022-01-08 20:30:00,1068.1,11
2022-01-08 20:45:00,1524.13,12
2022-01-08 21:00:00,587.85,8
2022-01-08 21:15:00,964.1,8
2022-01-08 21:30:00,669.88,8
2022-01-08 21:45:00,391.56,7
2022-01-08 22:00:00,422.87,4
2022-01-08 22:15:00,204.09,4
2022-01-08 22:30:00,426.08,4
